tipo,desc,cod,ele_m,ele_f,ele_t,com_vot:0:com,com_vot:0:dt_com,com_vot:0:scheda,com_vot:0:enti_p,com_vot:0:enti_t,com_vot:0:perc,com_vot:0:vot_m,com_vot:0:vot_f,com_vot:0:vot_t,com_vot:0:perc_r,com_vot:1:com,com_vot:1:dt_com,com_vot:1:scheda,com_vot:1:enti_p,com_vot:1:enti_t,com_vot:1:perc,com_vot:1:vot_m,com_vot:1:vot_f,com_vot:1:vot_t,com_vot:1:perc_r,com_vot:2:com,com_vot:2:dt_com,com_vot:2:scheda,com_vot:2:enti_p,com_vot:2:enti_t,com_vot:2:perc,com_vot:2:vot_m,com_vot:2:vot_f,com_vot:2:vot_t,com_vot:2:perc_r,com_vot:3:com,com_vot:3:dt_com,com_vot:3:scheda,com_vot:3:enti_p,com_vot:3:enti_t,com_vot:3:perc,com_vot:3:vot_m,com_vot:3:vot_f,com_vot:3:vot_t,com_vot:3:perc_r
REGIONE,ABRUZZO,13,504326,534979,1039305,1,20200920120000,1,305,305,"10,61",0,0,110258,,2,20200920190000,1,305,305,"27,31",0,0,283816,,3,20200920230000,1,305,305,"36,47",0,0,379012,,4,20200921150000,1,305,305,"50,79",264870,262975,527845,
REGIONE,BASILICATA,17,221577,233442,455019,1,20200920120000,1,131,131,"9,33",0,0,42432,,2,20200920190000,1,131,131,"24,16",0,0,109937,,3,20200920230000,1,131,131,"36,66",0,0,166824,,4,20200921150000,1,131,131,"50,14",117789,110346,228135,
REGIONE,CALABRIA,18,732126,786661,1518787,1,20200920120000,1,404,404,"8,62",0,0,130980,,2,20200920190000,1,404,404,"22,44",0,0,340832,,3,20200920230000,1,404,404,"32,43",0,0,492470,,4,20200921150000,1,404,404,"45,22",350634,336122,686756,
REGIONE,CAMPANIA,15,2181342,2363533,4544875,1,20200920120000,1,550,550,"12,46",0,0,566197,,2,20200920190000,1,550,550,"29,13",0,0,1324126,,3,20200920230000,1,550,550,"42,77",0,0,1944033,,4,20200921150000,1,550,550,"61,04",1387340,1386721,2774061,
REGIONE,EMILIA-ROMAGNA,8,1612361,1716327,3328688,1,20200920120000,1,328,328,"14,16",0,0,471404,,2,20200920190000,1,328,328,"32,98",0,0,1097866,,3,20200920230000,1,328,328,"41,59",0,0,1384242,,4,20200921150000,1,328,328,"55,37",905976,937175,1843151,
REGIONE,FRIULI-VENEZIA GIULIA,6,456622,489865,946487,1,20200920120000,1,215,215,"12,40",0,0,117373,,2,20200920190000,1,215,215,"28,31",0,0,267915,,3,20200920230000,1,215,215,"36,34",0,0,343948,,4,20200921150000,1,215,215,"50,22",233072,242240,475312,
REGIONE,LAZIO,12,2087400,2289524,4376924,1,20200920120000,1,378,378,"10,87",0,0,475821,,2,20200920190000,1,378,378,"25,25",0,0,1105089,,3,20200920230000,1,378,378,"33,06",0,0,1447062,,4,20200921150000,1,378,378,"45,67",975150,1023962,1999112,
REGIONE,LIGURIA,7,572786,638264,1211050,1,20200920120000,1,234,234,"15,43",0,0,186917,,2,20200920190000,1,234,234,"35,49",0,0,429758,,3,20200920230000,1,234,234,"44,05",0,0,533507,,4,20200921150000,1,234,234,"59,17",348534,368027,716561,
REGIONE,LOMBARDIA,3,3643227,3866033,7509260,1,20200920120000,1,1506,1506,"12,43",0,0,933159,,2,20200920190000,1,1506,1506,"30,91",0,0,2321150,,3,20200920230000,1,1506,1506,"39,01",0,0,2929233,,4,20200921150000,1,1506,1506,"51,36",1887564,1969088,3856652,
REGIONE,MARCHE,11,571268,607998,1179266,1,20200920120000,1,227,227,"14,90",0,0,175693,,2,20200920190000,1,227,227,"36,65",0,0,432205,,3,20200920230000,1,227,227,"47,52",0,0,560332,,4,20200921150000,1,227,227,"66,39",392188,390675,782863,
REGIONE,MOLISE,14,121089,127531,248620,1,20200920120000,1,136,136,"9,76",0,0,24264,,2,20200920190000,1,136,136,"24,18",0,0,60107,,3,20200920230000,1,136,136,"33,33",0,0,82872,,4,20200921150000,1,135,136,"47,44",60208,57454,117662,
REGIONE,PIEMONTE,1,1615892,1736005,3351897,1,20200920120000,1,1181,1181,"12,02",0,0,402939,,2,20200920190000,1,1181,1181,"30,69",0,0,1028601,,3,20200920230000,1,1181,1181,"38,80",0,0,1300668,,4,20200921150000,1,1181,1181,"51,56",848488,879606,1728094,
REGIONE,PUGLIA,16,1557539,1690429,3247968,1,20200920120000,1,257,257,"13,22",0,0,429274,,2,20200920190000,1,257,257,"30,28",0,0,983515,,3,20200920230000,1,257,257,"43,74",0,0,1420648,,4,20200921150000,1,257,257,"61,91",1009125,1001680,2010805,
REGIONE,SARDEGNA,20,660226,696918,1357144,1,20200920120000,1,377,377,"7,76",0,0,105338,,2,20200920190000,1,377,377,"17,02",0,0,230960,,3,20200920230000,1,377,377,"23,41",0,0,317667,,4,20200921150000,1,377,377,"35,70",239548,244958,484506,
REGIONE,SICILIA,19,1889798,2068021,3957819,1,20200920120000,1,390,390,"6,41",0,0,253575,,2,20200920190000,1,390,390,"16,96",0,0,671243,,3,20200920230000,1,390,390,"24,76",0,0,980079,,4,20200921150000,1,390,390,"35,39",714047,686535,1400582,
REGIONE,TOSCANA,9,1361491,1477062,2838553,1,20200920120000,1,273,273,"15,44",0,0,438139,,2,20200920190000,1,273,273,"38,17",0,0,1083597,,3,20200920230000,1,273,273,"48,29",0,0,1370869,,4,20200921150000,1,273,273,"65,88",921007,949136,1870143,
REGIONE,TRENTINO-ALTO ADIGE,4,395442,410606,806048,1,20200920120000,1,282,282,"16,04",0,0,129316,,2,20200920190000,1,282,282,"40,50",0,0,326429,,3,20200920230000,1,282,282,"54,42",0,0,438688,,4,20200921150000,1,282,282,"70,96",280648,291310,571958,
REGIONE,UMBRIA,10,321535,345719,667254,1,20200920120000,1,92,92,"9,56",0,0,63802,,2,20200920190000,1,92,92,"25,16",0,0,167857,,3,20200920230000,1,92,92,"33,09",0,0,220811,,4,20200921150000,1,92,92,"48,75",164148,161171,325319,
REGIONE,VALLE D'AOSTA,2,48300,50710,99010,1,20200920120000,1,74,74,"18,24",0,0,18058,,2,20200920190000,1,74,74,"44,35",0,0,43910,,3,20200920230000,1,74,74,"56,37",0,0,55812,,4,20200921150000,1,74,74,"73,44",35875,36836,72711,
REGIONE,VENETO,5,1818373,1916347,3734720,1,20200920120000,1,563,563,"16,31",0,0,609015,,2,20200920190000,1,563,563,"39,27",0,0,1466549,,3,20200920230000,1,563,563,"51,03",0,0,1905922,,4,20200921150000,1,563,563,"67,54",1240839,1281649,2522488,
